area,crime_type,year,crime_count,crime_date,crime_hour,day_night,month,risk_level
Pune,ASSAULT,2020,1,2020-03-06 18:00:00,18,Night,3,High
Delhi,ASSAULT,2020,1,2020-03-08 09:00:00,9,Day,3,High
Ahmedabad,ASSAULT,2020,1,2020-03-09 07:00:00,7,Day,3,High
Bangalore,KIDNAPPING,2020,1,2020-03-09 11:00:00,11,Day,3,High
Chennai,ASSAULT,2020,1,2020-03-09 22:00:00,22,Night,3,High
Agra,KIDNAPPING,2020,1,2020-03-10 06:00:00,6,Day,3,Medium
Mumbai,KIDNAPPING,2020,1,2020-03-10 07:00:00,7,Day,3,High
Nashik,ASSAULT,2020,1,2020-03-10 23:00:00,23,Night,3,Low
Jaipur,SEXUAL ASSAULT,2020,1,2020-03-11 17:00:00,17,Day,3,High
Delhi,ASSAULT,2020,1,2020-03-12 10:00:00,10,Day,3,High
Agra,SEXUAL ASSAULT,2020,1,2020-03-13 22:00:00,22,Night,3,Medium
Mumbai,SEXUAL ASSAULT,2020,1,2020-03-14 05:00:00,5,Night,3,High
Varanasi,SEXUAL ASSAULT,2020,1,2020-03-14 12:00:00,12,Day,3,Low
Pune,ASSAULT,2020,1,2020-03-14 16:00:00,16,Day,3,High
Ludhiana,ASSAULT,2020,1,2020-03-14 20:00:00,20,Night,3,Medium
Delhi,ASSAULT,2020,1,2020-03-15 03:00:00,3,Night,3,High
Bangalore,KIDNAPPING,2020,1,2020-03-15 04:00:00,4,Night,3,High
Bangalore,SEXUAL ASSAULT,2020,1,2020-03-15 05:00:00,5,Night,3,High
Mumbai,ASSAULT,2020,1,2020-03-15 11:00:00,11,Day,3,High
Delhi,KIDNAPPING,2020,1,2020-03-15 14:00:00,14,Day,3,High
Mumbai,SEXUAL ASSAULT,2020,1,2020-03-15 19:00:00,19,Night,3,High
Bhopal,KIDNAPPING,2020,1,2020-03-16 02:00:00,2,Night,3,Medium
Kolkata,ASSAULT,2020,1,2020-03-16 18:00:00,18,Night,3,High
Lucknow,KIDNAPPING,2020,1,2020-03-17 09:00:00,9,Day,3,High
Chennai,SEXUAL ASSAULT,2020,1,2020-03-19 07:00:00,7,Day,3,High
Agra,KIDNAPPING,2020,1,2020-03-19 10:00:00,10,Day,3,Medium
Nashik,ASSAULT,2020,1,2020-03-19 15:00:00,15,Day,3,Low
Ahmedabad,KIDNAPPING,2020,1,2020-03-20 06:00:00,6,Day,3,High
Hyderabad,KIDNAPPING,2020,1,2020-03-20 19:00:00,19,Night,3,High
Nagpur,ASSAULT,2020,1,2020-03-21 13:00:00,13,Day,3,Medium
Delhi,KIDNAPPING,2020,1,2020-03-22 09:00:00,9,Day,3,High
Hyderabad,ASSAULT,2020,1,2020-03-22 11:00:00,11,Day,3,High
Pune,SEXUAL ASSAULT,2020,1,2020-03-22 19:00:00,19,Night,3,High
Jaipur,ASSAULT,2020,1,2020-03-23 22:00:00,22,Night,3,High
Kolkata,ASSAULT,2020,1,2020-03-24 00:00:00,0,Night,3,High
Mumbai,ASSAULT,2020,1,2020-03-24 16:00:00,16,Day,3,High
Bangalore,ASSAULT,2020,1,2020-03-25 03:00:00,3,Night,3,High
Bhopal,ASSAULT,2020,1,2020-03-25 09:00:00,9,Day,3,Medium
Kanpur,ASSAULT,2020,1,2020-03-25 10:00:00,10,Day,3,Medium
Kolkata,SEXUAL ASSAULT,2020,1,2020-03-25 17:00:00,17,Day,3,High
Thane,KIDNAPPING,2020,1,2020-03-25 18:00:00,18,Night,3,Low
Vasai,KIDNAPPING,2020,1,2020-03-26 00:00:00,0,Night,3,Low
Pune,SEXUAL ASSAULT,2020,1,2020-03-26 17:00:00,17,Day,3,High
Nashik,SEXUAL ASSAULT,2020,1,2020-03-27 15:00:00,15,Day,3,Low
Surat,ASSAULT,2020,1,2020-03-28 11:00:00,11,Day,3,Medium
Ahmedabad,SEXUAL ASSAULT,2020,1,2020-03-29 00:00:00,0,Night,3,High
Delhi,SEXUAL ASSAULT,2020,1,2020-03-29 07:00:00,7,Day,3,High
Mumbai,ASSAULT,2020,1,2020-03-29 08:00:00,8,Day,3,High
Bangalore,ASSAULT,2020,1,2020-03-31 01:00:00,1,Night,3,High
Ahmedabad,ASSAULT,2020,1,2020-03-31 04:00:00,4,Night,3,High
Delhi,ASSAULT,2020,1,2020-03-31 05:00:00,5,Night,3,High
Nashik,SEXUAL ASSAULT,2020,1,2020-03-31 11:00:00,11,Day,3,Low
Kalyan,KIDNAPPING,2020,1,2020-03-31 16:00:00,16,Day,3,Low
Ahmedabad,SEXUAL ASSAULT,2020,1,2020-03-31 17:00:00,17,Day,3,High
Delhi,ASSAULT,2020,1,2020-03-31 18:00:00,18,Night,3,High
Bangalore,KIDNAPPING,2020,1,2020-04-01 04:00:00,4,Night,4,High
Ahmedabad,SEXUAL ASSAULT,2020,1,2020-04-01 08:00:00,8,Day,4,High
Kolkata,ASSAULT,2020,1,2020-04-02 01:00:00,1,Night,4,High
Bangalore,KIDNAPPING,2020,1,2020-04-02 03:00:00,3,Night,4,High
Jaipur,SEXUAL ASSAULT,2020,1,2020-04-03 13:00:00,13,Day,4,High
Mumbai,ASSAULT,2020,1,2020-04-04 10:00:00,10,Day,4,High
Mumbai,ASSAULT,2020,1,2020-04-05 00:00:00,0,Night,4,High
Jaipur,KIDNAPPING,2020,1,2020-04-05 03:00:00,3,Night,4,High
Lucknow,ASSAULT,2020,1,2020-04-06 00:00:00,0,Night,4,High
Mumbai,SEXUAL ASSAULT,2020,1,2020-04-06 11:00:00,11,Day,4,High
Bangalore,SEXUAL ASSAULT,2020,1,2020-04-06 21:00:00,21,Night,4,High
Bhopal,ASSAULT,2020,1,2020-04-08 07:00:00,7,Day,4,Medium
Mumbai,KIDNAPPING,2020,1,2020-04-08 09:00:00,9,Day,4,High
Ghaziabad,KIDNAPPING,2020,1,2020-04-08 18:00:00,18,Night,4,Medium
Ahmedabad,KIDNAPPING,2020,1,2020-04-09 05:00:00,5,Night,4,High
Bangalore,KIDNAPPING,2020,1,2020-04-09 10:00:00,10,Day,4,High
Delhi,ASSAULT,2020,1,2020-04-09 11:00:00,11,Day,4,High
Chennai,SEXUAL ASSAULT,2020,1,2020-04-09 17:00:00,17,Day,4,High
Bangalore,ASSAULT,2020,1,2020-04-10 05:00:00,5,Night,4,High
Delhi,SEXUAL ASSAULT,2020,1,2020-04-10 15:00:00,15,Day,4,High
Pune,SEXUAL ASSAULT,2020,1,2020-04-11 10:00:00,10,Day,4,High
Delhi,KIDNAPPING,2020,1,2020-04-12 00:00:00,0,Night,4,High
Kolkata,SEXUAL ASSAULT,2020,1,2020-04-12 01:00:00,1,Night,4,High
Mumbai,KIDNAPPING,2020,1,2020-04-13 08:00:00,8,Day,4,High
Chennai,KIDNAPPING,2020,1,2020-04-13 13:00:00,13,Day,4,High
Ahmedabad,KIDNAPPING,2020,1,2020-04-13 23:00:00,23,Night,4,High
Delhi,KIDNAPPING,2020,1,2020-04-14 09:00:00,9,Day,4,High
Jaipur,SEXUAL ASSAULT,2020,1,2020-04-14 11:00:00,11,Day,4,High
Nashik,KIDNAPPING,2020,1,2020-04-14 15:00:00,15,Day,4,Low
Kolkata,KIDNAPPING,2020,1,2020-04-15 08:00:00,8,Day,4,High
Mumbai,ASSAULT,2020,1,2020-04-16 02:00:00,2,Night,4,High
Bangalore,ASSAULT,2020,1,2020-04-16 14:00:00,14,Day,4,High
Lucknow,SEXUAL ASSAULT,2020,1,2020-04-16 19:00:00,19,Night,4,High
Surat,KIDNAPPING,2020,1,2020-04-17 01:00:00,1,Night,4,Medium
Bangalore,ASSAULT,2020,1,2020-04-17 06:00:00,6,Day,4,High
Indore,SEXUAL ASSAULT,2020,1,2020-04-17 07:00:00,7,Day,4,Medium
Jaipur,SEXUAL ASSAULT,2020,1,2020-04-17 17:00:00,17,Day,4,High
Ahmedabad,KIDNAPPING,2020,1,2020-04-18 21:00:00,21,Night,4,High
Meerut,ASSAULT,2020,1,2020-04-19 00:00:00,0,Night,4,Low
Pune,KIDNAPPING,2020,1,2020-04-19 15:00:00,15,Day,4,High
Lucknow,ASSAULT,2020,1,2020-04-19 19:00:00,19,Night,4,High
Hyderabad,KIDNAPPING,2020,1,2020-04-20 09:00:00,9,Day,4,High
Delhi,SEXUAL ASSAULT,2020,1,2020-04-21 11:00:00,11,Day,4,High
Kolkata,ASSAULT,2020,1,2020-04-22 16:00:00,16,Day,4,High
Indore,ASSAULT,2020,1,2020-04-22 18:00:00,18,Night,4,Medium
Chennai,KIDNAPPING,2020,1,2020-04-23 06:00:00,6,Day,4,High
Mumbai,ASSAULT,2020,1,2020-04-24 03:00:00,3,Night,4,High
Bangalore,KIDNAPPING,2020,1,2020-04-24 07:00:00,7,Day,4,High
Delhi,SEXUAL ASSAULT,2020,1,2020-04-24 12:00:00,12,Day,4,High
Delhi,KIDNAPPING,2020,1,2020-04-24 20:00:00,20,Night,4,High
Delhi,KIDNAPPING,2020,1,2020-04-25 00:00:00,0,Night,4,High
Mumbai,SEXUAL ASSAULT,2020,1,2020-04-26 01:00:00,1,Night,4,High
Chennai,ASSAULT,2020,1,2020-04-26 10:00:00,10,Day,4,High
Kanpur,SEXUAL ASSAULT,2020,1,2020-04-27 04:00:00,4,Night,4,Medium
Chennai,ASSAULT,2020,1,2020-04-27 09:00:00,9,Day,4,High
Lucknow,ASSAULT,2020,1,2020-04-27 18:00:00,18,Night,4,High
Bhopal,KIDNAPPING,2020,1,2020-04-27 23:00:00,23,Night,4,Medium
Kolkata,SEXUAL ASSAULT,2020,1,2020-04-28 09:00:00,9,Day,4,High
Surat,KIDNAPPING,2020,1,2020-04-28 21:00:00,21,Night,4,Medium
Mumbai,SEXUAL ASSAULT,2020,1,2020-04-29 01:00:00,1,Night,4,High
Thane,SEXUAL ASSAULT,2020,1,2020-04-29 05:00:00,5,Night,4,Low
Agra,ASSAULT,2020,1,2020-04-29 09:00:00,9,Day,4,Medium
Delhi,ASSAULT,2020,1,2020-04-29 16:00:00,16,Day,4,High
Mumbai,SEXUAL ASSAULT,2020,1,2020-04-30 14:00:00,14,Day,4,High
Mumbai,KIDNAPPING,2020,1,2020-05-01 07:00:00,7,Day,5,High
Kolkata,SEXUAL ASSAULT,2020,1,2020-05-01 13:00:00,13,Day,5,High
Bangalore,KIDNAPPING,2020,1,2020-05-01 18:00:00,18,Night,5,High
Jaipur,ASSAULT,2020,1,2020-05-02 15:00:00,15,Day,5,High
Lucknow,SEXUAL ASSAULT,2020,1,2020-05-03 12:00:00,12,Day,5,High
Pune,SEXUAL ASSAULT,2020,1,2020-05-03 18:00:00,18,Night,5,High
Kalyan,SEXUAL ASSAULT,2020,1,2020-05-03 19:00:00,19,Night,5,Low
Visakhapatnam,SEXUAL ASSAULT,2020,1,2020-05-04 07:00:00,7,Day,5,Low
Bangalore,SEXUAL ASSAULT,2020,1,2020-05-05 03:00:00,3,Night,5,High
Nagpur,SEXUAL ASSAULT,2020,1,2020-05-05 18:00:00,18,Night,5,Medium
Chennai,KIDNAPPING,2020,1,2020-05-06 04:00:00,4,Night,5,High
Surat,SEXUAL ASSAULT,2020,1,2020-05-06 06:00:00,6,Day,5,Medium
Thane,ASSAULT,2020,1,2020-05-06 21:00:00,21,Night,5,Low
Delhi,SEXUAL ASSAULT,2020,1,2020-05-07 11:00:00,11,Day,5,High
Mumbai,ASSAULT,2020,1,2020-05-08 01:00:00,1,Night,5,High
Kalyan,SEXUAL ASSAULT,2020,1,2020-05-08 08:00:00,8,Day,5,Low
Mumbai,KIDNAPPING,2020,1,2020-05-09 02:00:00,2,Night,5,High
Chennai,SEXUAL ASSAULT,2020,1,2020-05-09 05:00:00,5,Night,5,High
Bangalore,KIDNAPPING,2020,1,2020-05-09 19:00:00,19,Night,5,High
Mumbai,ASSAULT,2020,1,2020-05-10 08:00:00,8,Day,5,High
Lucknow,ASSAULT,2020,1,2020-05-11 03:00:00,3,Night,5,High
Ahmedabad,SEXUAL ASSAULT,2020,1,2020-05-13 11:00:00,11,Day,5,High
Meerut,SEXUAL ASSAULT,2020,1,2020-05-13 19:00:00,19,Night,5,Low
Agra,KIDNAPPING,2020,1,2020-05-14 01:00:00,1,Night,5,Medium
Ahmedabad,SEXUAL ASSAULT,2020,1,2020-05-15 00:00:00,0,Night,5,High
Vasai,ASSAULT,2020,1,2020-05-16 10:00:00,10,Day,5,Low
Bangalore,KIDNAPPING,2020,1,2020-05-17 12:00:00,12,Day,5,High
Delhi,SEXUAL ASSAULT,2020,1,2020-05-17 17:00:00,17,Day,5,High
Thane,ASSAULT,2020,1,2020-05-17 19:00:00,19,Night,5,Low
Jaipur,SEXUAL ASSAULT,2020,1,2020-05-18 15:00:00,15,Day,5,High
Kalyan,KIDNAPPING,2020,1,2020-05-18 22:00:00,22,Night,5,Low
Rajkot,KIDNAPPING,2020,1,2020-05-20 13:00:00,13,Day,5,Low
Mumbai,SEXUAL ASSAULT,2020,1,2020-05-20 14:00:00,14,Day,5,High
Visakhapatnam,KIDNAPPING,2020,1,2020-05-21 06:00:00,6,Day,5,Low
Bangalore,KIDNAPPING,2020,1,2020-05-21 08:00:00,8,Day,5,High
Delhi,SEXUAL ASSAULT,2020,1,2020-05-21 10:00:00,10,Day,5,High
Mumbai,ASSAULT,2020,1,2020-05-22 03:00:00,3,Night,5,High
Delhi,ASSAULT,2020,1,2020-05-23 18:00:00,18,Night,5,High
Hyderabad,ASSAULT,2020,1,2020-05-24 02:00:00,2,Night,5,High
Delhi,ASSAULT,2020,1,2020-05-24 16:00:00,16,Day,5,High
Srinagar,ASSAULT,2020,1,2020-05-26 02:00:00,2,Night,5,Low
Kanpur,ASSAULT,2020,1,2020-05-26 06:00:00,6,Day,5,Medium
Kanpur,SEXUAL ASSAULT,2020,1,2020-05-26 07:00:00,7,Day,5,Medium
Bangalore,ASSAULT,2020,1,2020-05-26 18:00:00,18,Night,5,High
Delhi,KIDNAPPING,2020,1,2020-05-27 21:00:00,21,Night,5,High
Kanpur,ASSAULT,2020,1,2020-05-28 19:00:00,19,Night,5,Medium
Delhi,SEXUAL ASSAULT,2020,1,2020-05-29 06:00:00,6,Day,5,High
